image_group_id,blank,consol_dict_model_3,consol_dict_model_4,event_final_topk_conf,species,md_count_max,yolo_count_max,md_bbox,yolo_bbox
2952333,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.4552288353443146], 'blank': [0.6488945484161377, 0.6129166483879089]}","{'blank': 0.99, 'turkey': 0.37935736278692883, 'bear': 0.06885584443807602}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2952479,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.41880571842193604], 'turkey': [0.7727895379066467, 0.5471175909042358]}","{'blank': 0.99, 'turkey': 0.6439912815888723, 'bear': 0.06475873912374179}",turkey,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2952614,True,"{'blank': [0.99, 0.99, 0.99]}","{'coyote': [0.437640905380249, 0.45161569118499756, 0.39708516001701355]}","{'blank': 0.99, 'coyote': 0.3763464093208313, 'turkey': 0.20905238886674246}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2953213,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8912822604179382, 0.9345970153808594, 0.913703441619873]}","{'blank': 0.99, 'wolf': 0.03803663576642673, 'turkey': 0.020143861571947735}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2955029,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.9659003615379333, 0.9548417925834656, 0.9716031551361084]}","{'blank': 0.99, 'turkey': 0.033151128639777504, 'wolf': 0.003305950667709112}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2966342,True,"{'blank': [0.99, 0.99], 'raccoon': [0.281738281]}","{'blank': [0.8234046697616577, 0.9042351841926575, 0.8749203681945801]}","{'raccoon': 0.33808593719999996, 'cottontail_snowshoehare': 0.13570372015237808, 'wolf': 0.005951447334761421}",raccoon,2,1,"{'A': [], 'B': [], 'C': ['0.5383,0.5477,0.2552,0.1102', '0.4916,0.5527,0.1535,0.1045']}","{'A': [], 'B': [['0.04017222905956141,0.6271306649529825,0.08034445811912282,0.1328125']], 'C': []}"
2967208,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8307161331176758, 0.8171610236167908, 0.8678539991378784]}","{'blank': 0.99, 'foxgray_foxred': 0.050989799201488495, 'turkey': 0.046346187591552734}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2967414,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8741933107376099, 0.8596938252449036, 0.8882267475128174]}","{'blank': 0.99, 'wolf': 0.03999491843084495, 'turkey': 0.035821429143349334}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2967546,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.6312100291252136, 0.7225382328033447, 0.7097951769828796]}","{'blank': 0.99, 'turkey': 0.10255081579089165, 'foxgray_foxred': 0.09070207675298056}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2968166,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.4401085078716278, 0.3102765381336212, 0.40729448199272156]}","{'blank': 0.99, 'coyote': 0.19576126088698706, 'wolf': 0.080867155144612}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2968227,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.2676700949668884], 'blank': [0.6663722991943359, 0.7948651909828186]}","{'blank': 0.99, 'foxgray_foxred': 0.22305841247240704, 'raccoon': 0.1501824458440145}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2968357,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.7259649634361267, 0.8682650327682495, 0.8564555048942566]}","{'blank': 0.99, 'turkey': 0.7235541939735413, 'coyote': 0.035620726024111114}",turkey,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
