image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_species,image_id_2_species,image_id_3_species,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,model_id
SSWI000000015938425,A,B,C,1,2,2,0.999,0.849;0.697,0.941;0.272,"0.5752,0.8049,0.1479,0.161","0.8925,0.663,0.1962,0.1396;0.8462,0.6681,0.1061,0.1151","0.9161,0.6429,0.08725,0.09638;0.9189,0.6522,0.1217,0.1152",,,,False,False,False,False,False,False,5
SSWI000000015982375,A,B,C,2,4,1,0.995;0.12,0.955;0.504;0.17;0.115,0.527,"0.5697,0.7147,0.08604,0.1314;0.556,0.7179,0.1422,0.1413","0.5167,0.6805,0.1225,0.1292;0.5009,0.6885,0.1894,0.1551;0.5248,0.6675,0.09245,0.09961;0.4547,0.6681,0.2571,0.1781","0.492,0.6368,0.2119,0.163",,,,False,False,False,False,False,False,5
SSWI000000016011626,A,B,C,1,0,0,0.98,,,"0.5797,0.6413,0.09534,0.1552",,,,,,False,True,True,False,False,False,5
SSWI000000016060658,A,B,C,3,3,4,0.999;0.998;0.998,0.999;0.996;0.995,0.998;0.996;0.993;0.713,"0.3745,0.5855,0.1516,0.1555;0.3009,0.6235,0.1429,0.1555;0.8848,0.59,0.141,0.1747","0.3771,0.5659,0.1461,0.1864;0.302,0.6217,0.1445,0.1453;0.8932,0.6154,0.1541,0.1207","0.3749,0.5664,0.1496,0.1813;0.3,0.6197,0.1407,0.1468;0.8891,0.6119,0.1367,0.1293;0.5736,0.5226,0.03035,0.02569",,,,False,False,False,False,False,False,5
SSWI000000016108766,A,B,C,1,1,1,0.999,0.999,0.998,"0.2891,0.4996,0.5652,0.9993","0.5636,0.5024,0.8557,0.9951","0.7895,0.4969,0.4196,0.9938",,,,False,False,False,False,False,False,5
SSWI000000016108793,A,B,C,1,1,1,0.983,0.999,0.999,"0.9274,0.336,0.1449,0.6719","0.5183,0.4974,0.9445,0.9947","0.4935,0.5006,0.9806,0.9987",,,,False,False,False,False,False,False,5
SSWI000000016110181,A,B,C,1,1,1,0.999,0.999,0.999,"0.1319,0.6494,0.257,0.2903","0.7176,0.503,0.1333,0.1862","0.8096,0.473,0.1078,0.1619",,,,False,False,False,False,False,False,5
SSWI000000016161584,A,B,C,4,2,6,0.993;0.787;0.181;0.132,0.991;0.204,0.988;0.486;0.16;0.148;0.146;0.13,"0.8741,0.9292,0.2436,0.1381;0.554,0.7883,0.1191,0.26;0.6687,0.8225,0.3963,0.32;0.5572,0.8025,0.1888,0.3071","0.8709,0.9416,0.2523,0.1084;0.5524,0.7641,0.1134,0.2317","0.8719,0.9385,0.2516,0.1106;0.5514,0.769,0.1138,0.2413;0.6807,0.8241,0.4154,0.3206;0.2054,0.9334,0.05902,0.06536;0.5403,0.803,0.1492,0.3101;0.5941,0.8013,0.1891,0.2972",,,,False,False,False,False,False,False,5
SSWI000000016161614,A,B,C,3,4,5,0.99;0.318;0.124,0.987;0.481;0.201;0.131,0.989;0.197;0.196;0.146;0.118,"0.6307,0.9425,0.3158,0.1075;0.4993,0.9348,0.5717,0.1164;0.2036,0.9351,0.06335,0.06432","0.6279,0.9418,0.323,0.11;0.1998,0.9409,0.07586,0.07809;0.2081,0.9311,0.05645,0.06044;0.5453,0.9353,0.4859,0.118","0.6265,0.9414,0.3225,0.1076;0.5277,0.9307,0.5335,0.1248;0.2061,0.9323,0.05727,0.0601;0.5948,0.912,0.3799,0.1546;0.1979,0.9394,0.07547,0.08016",,,,False,False,False,False,False,False,5
SSWI000000016161748,A,B,C,5,5,2,0.999;0.998;0.716;0.137;0.125,0.999;0.997;0.256;0.158;0.107,0.998;0.997,"0.6275,0.681,0.2889,0.2631;0.8075,0.6387,0.07816,0.1485;0.2698,0.7188,0.1781,0.1434;0.2718,0.7466,0.1682,0.09674;0.2275,0.7126,0.09209,0.1405","0.6285,0.6802,0.2892,0.2603;0.7935,0.6398,0.1085,0.1434;0.2969,0.722,0.2289,0.1442;0.227,0.715,0.08757,0.1351;0.272,0.7528,0.1663,0.07828","0.6482,0.6982,0.2613,0.2512;0.7926,0.6356,0.1031,0.1532",,,,False,False,False,False,False,False,5
SSWI000000016161809,A,B,C,2,2,3,0.984;0.975,0.995;0.993,0.955;0.953;0.419,"0.6479,0.6018,0.06239,0.07461;0.4975,0.6434,0.04918,0.1112","0.4983,0.5971,0.08694,0.08191;0.4672,0.657,0.05329,0.09648","0.4701,0.6096,0.07623,0.0914;0.4688,0.6502,0.06194,0.1081;0.4714,0.629,0.07976,0.1478",,,,False,False,False,False,False,False,5
SSWI000000016162020,A,B,C,3,4,3,0.994;0.553;0.49,0.984;0.903;0.71;0.236,0.994;0.329;0.252,"0.5517,0.838,0.419,0.237;0.4578,0.8334,0.2251,0.2261;0.411,0.8452,0.5793,0.249","0.3054,0.7822,0.1291,0.2674;0.5787,0.8484,0.3537,0.2529;0.2393,0.7989,0.2675,0.2979;0.4267,0.812,0.6671,0.3257","0.2878,0.7791,0.1653,0.2937;0.5751,0.8525,0.3577,0.2563;0.4658,0.8279,0.5468,0.2664",,,,False,False,False,False,False,False,5
SSWI000000016162113,A,B,C,2,3,2,0.999;0.993,0.999;0.946;0.134,0.999;0.991,"0.738,0.6977,0.2838,0.2453;0.3858,0.7384,0.1324,0.2219","0.7268,0.6889,0.1657,0.2533;0.3384,0.7369,0.1407,0.2269;0.3355,0.7937,0.1391,0.1177","0.7309,0.6901,0.1701,0.2544;0.334,0.7381,0.1554,0.2259",,,,False,False,False,False,False,False,5
SSWI000000016172560,A,B,C,1,1,1,0.998,0.995,0.998,"0.369,0.7003,0.143,0.1277","0.247,0.7111,0.1411,0.113","0.0885,0.7035,0.1676,0.1224",,,,False,False,False,False,False,False,5
